792.44141	-54
792.63824	-49
792.83508	-43
793.03192	-42
793.22876	-17
793.42554	-47
793.62238	-30
793.81915	-49
794.01599	-12
794.21277	-16
794.40955	-65
794.60638	-45
794.80316	-46
794.99994	-43
795.19666	-25
795.39343	-13
795.59021	-10
795.78699	-64
795.9837	-35
796.18042	-22
796.3772	-48
796.57391	-64
796.77063	-41
796.96735	-29
797.16406	-36
797.36078	-21
797.55743	-13
797.75415	-36
797.95087	-19
798.14752	-59
798.34418	-48
798.54083	-6
798.73755	-16
798.9342	-42
799.13086	-45
799.32745	-28
799.52411	-14
799.72076	-22
799.91736	-30
800.11401	-32
800.31061	-57
800.5072	-36
800.7038	-32
800.90039	-29
801.09698	-33
801.29358	-16
801.49017	-3
801.68677	-20
801.8833	-24
802.07983	-44
802.27643	8
802.47296	-31
802.66949	-24
802.86603	-6
803.06256	-16
803.25909	-44
803.45563	-13
803.6521	-32
803.84863	-23
804.0451	-37
804.24158	-18
804.43811	-31
804.63458	-36
804.83105	-24
805.02753	-18
805.22394	-34
805.42041	-68
805.61688	-2
805.81329	-41
806.0097	-45
806.20618	-26
806.40259	-14
806.599	-23
806.79541	-23
806.99182	-26
807.18817	2
807.38458	-15
807.58099	-44
807.77734	-19
807.97369	8
808.1701	-22
808.36646	-25
808.56281	-6
808.75909	-35
808.95544	-68
809.15179	-8
809.34808	-24
809.54443	-36
809.74072	-33
809.93701	-23
810.13336	-26
810.32965	-10
810.52594	6
810.72217	-9
810.91846	-38
811.11475	-14
811.31097	-26
811.5072	0
811.70349	-24
811.89972	-12
812.09595	-5
812.29218	-34
812.48834	2
812.68457	-31
812.8808	-1
813.07697	-13
813.27319	-32
813.46936	-45
813.66553	-18
813.86169	-25
814.05786	-10
814.25403	-27
814.45013	-8
814.6463	-15
814.84241	-23
815.03857	-14
815.23468	-24
815.43079	2
815.62689	-14
815.823	-41
816.0191	-27
816.21515	-43
816.41125	-41
816.6073	-41
816.80341	-24
816.99945	-49
817.1955	-18
817.39154	-6
817.58759	7
817.78363	-17
817.97961	-9
818.17566	-35
818.37164	-9
818.56763	-54
818.76367	-30
818.95966	-25
819.15558	-41
819.35156	12
819.54755	-42
819.74353	-35
819.93945	-4
820.13538	-24
820.33136	-5
820.52728	-52
820.72321	-18
820.91907	-26
821.11499	-23
821.31091	-36
821.50677	-10
821.7027	-60
821.89856	8
822.09442	-15
822.29028	42
822.48615	-10
822.68201	2
822.87787	-27
823.07367	11
823.26953	-21
823.46533	-8
823.66113	6
823.85693	-40
824.05273	0
824.24854	-7
824.44434	-10
824.64008	-25
824.83588	-31
825.03162	-12
825.22736	-36
825.4231	6
825.61884	-11
825.81458	-35
826.01031	0
826.20599	0
826.40173	-16
826.59741	-16
